CROWN,PORTRAIT,RING,WATCH,LETTER
PORTRAIT,RING,WATCH,LETTER,CROWN
RING,WATCH,LETTER,CROWN,PORTRAIT
WATCH,LETTER,CROWN,PORTRAIT,RING
LETTER,CROWN,PORTRAIT,RING,WATCH
WILD,PORTRAIT,RING,WATCH,LETTER
CROWN,WILD,WATCH,LETTER,PORTRAIT
PORTRAIT,RING,WILD,CROWN,WATCH
RING,WATCH,LETTER,WILD,CROWN
WATCH,LETTER,CROWN,PORTRAIT,WILD
SCATTER,PORTRAIT,KEY,WATCH,LETTER
CROWN,SCATTER,RING,TESTAMENT,WATCH
PORTRAIT,KEY,SCATTER,RING,MIRROR
RING,WATCH,TESTAMENT,SCATTER,CROWN
KEY,LETTER,MIRROR,PORTRAIT,SCATTER
CROWN,PORTRAIT,RING,WATCH,LETTER
PORTRAIT,RING,WATCH,LETTER,CROWN
RING,WATCH,LETTER,CROWN,PORTRAIT
WATCH,LETTER,CROWN,PORTRAIT,RING
LETTER,CROWN,PORTRAIT,RING,WATCH
