WILD,PORTRAIT,RING,WATCH,LETTER
CROWN,WILD,WATCH,LETTER,PORTRAIT
PORTRAIT,RING,WILD,CROWN,WATCH
RING,WATCH,LETTER,WILD,CROWN
WATCH,LETTER,CROWN,PORTRAIT,WILD
TESTAMENT,PORTRAIT,MIRROR,WATCH,LETTER
CROWN,KEY,RING,TESTAMENT,WATCH
PORTRAIT,MIRROR,KEY,RING,WILD
RING,WATCH,TESTAMENT,MIRROR,CROWN
KEY,LETTER,MIRROR,PORTRAIT,TESTAMENT
CROWN,PORTRAIT,RING,WATCH,LETTER
PORTRAIT,RING,WATCH,LETTER,CROWN
RING,WATCH,LETTER,CROWN,PORTRAIT
WATCH,LETTER,CROWN,PORTRAIT,RING
LETTER,CROWN,PORTRAIT,RING,WATCH
WILD,PORTRAIT,RING,WATCH,LETTER
CROWN,WILD,WATCH,LETTER,PORTRAIT
PORTRAIT,RING,WILD,CROWN,WATCH
RING,WATCH,LETTER,WILD,CROWN
WATCH,LETTER,CROWN,PORTRAIT,WILD
